genes	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11	AML12	AML13	AML14	AML15	AML16	AML17	AML18	AML19	AML20	AML21	AML22	AML23	AML24	AML25	AML26	count
TNFSF10	1.955211944	2.496372722	NA	NA	NA	NA	NA	NA	-0.518730786	NA	NA	NA	NA	-2.263660932	NA	NA	NA	-0.647444514	-2.837692594	NA	NA	NA	NA	NA	-2.523948687	NA	7
TPSAB1	-1.363485944	1.034841222	NA	NA	NA	NA	NA	NA	1.03203752	NA	NA	NA	NA	2.00060988	NA	NA	NA	NA	NA	3.533552484	1.583909764	NA	NA	2.381187684	NA	NA	7
NFKBIA	-1.374974556	2.380995833	NA	NA	NA	NA	-1.066386556	NA	NA	0.619339571	0.637178992	NA	NA	-2.133310047	-0.918250263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
SLC2A3	NA	0.941224333	NA	NA	NA	NA	NA	NA	1.071514643	1.268004831	NA	NA	NA	-3.843680098	NA	NA	NA	NA	-2.48939725	-3.787282469	-1.411974666	NA	NA	NA	NA	NA	7
CCNA2	NA	-1.451194667	-2.168943194	1.6580525	NA	NA	NA	NA	-1.003211566	-1.332241764	NA	NA	-1.602665819	NA	NA	NA	NA	NA	NA	NA	-3.06010256	NA	NA	NA	NA	NA	7
ATP8B4	NA	NA	NA	NA	NA	NA	NA	NA	0.797938423	1.127170876	0.543684475	NA	NA	2.98769508	NA	NA	NA	NA	NA	3.052122688	1.578382519	3.900050244	NA	NA	NA	NA	7
JUN	NA	2.127918778	NA	NA	NA	NA	NA	NA	NA	0.809530849	0.711444524	3.292731111	NA	-1.869293365	NA	NA	NA	NA	NA	NA	NA	-3.10007579	NA	NA	NA	6.044123467	7
BHLHE40	NA	2.745035611	0.924750056	NA	NA	NA	NA	NA	0.800596235	0.704069899	0.749538624	NA	NA	-1.771216021	NA	NA	NA	NA	NA	NA	1.327349896	NA	NA	NA	NA	NA	7
ADGRE5	NA	2.209832222	NA	NA	1.254033236	NA	NA	NA	1.449680862	1.355893764	0.565826035	NA	2.500957097	NA	NA	NA	NA	NA	NA	NA	1.405476215	NA	NA	NA	NA	NA	7
CD38	NA	NA	NA	NA	NA	NA	-1.277947472	NA	-0.67825599	-0.961738477	NA	-2.454505278	NA	3.124416205	NA	NA	NA	NA	NA	NA	-1.227670495	4.212178528	NA	NA	NA	NA	7
CHST15	NA	NA	NA	NA	NA	NA	-1.414185611	-0.447581537	NA	-0.620884702	NA	NA	1.512012038	-3.252424993	NA	NA	NA	NA	NA	-4.533632938	NA	NA	NA	NA	NA	6.294864749	7
CCNA1	NA	NA	NA	NA	1.891853528	NA	NA	NA	0.792356765	0.926493657	NA	NA	NA	2.632469147	NA	NA	-2.426315076	NA	NA	3.579748781	2.351535797	NA	NA	NA	NA	NA	7
PDE4B	NA	0.960848778	NA	NA	NA	NA	-0.844711389	NA	0.506141954	0.58109524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.960108541	NA	-2.116355031	NA	NA	4.174892793	7
PLXNC1	NA	NA	NA	NA	-0.984125727	NA	-0.935701667	NA	NA	-0.733625263	NA	NA	NA	-2.887767461	NA	-1.981056674	NA	NA	NA	-2.921632844	-1.753444498	NA	NA	NA	NA	NA	7
ANPEP	NA	0.991146389	NA	NA	1.410975233	NA	NA	NA	0.879238306	0.942442392	NA	NA	NA	-2.933157249	NA	NA	NA	NA	-2.403719406	-3.319829375	NA	NA	NA	NA	NA	NA	7
FLT3	NA	-0.905426444	NA	NA	NA	NA	NA	NA	NA	0.922149585	0.798402994	NA	NA	6.677489002	NA	NA	NA	NA	NA	NA	2.416232896	6.824371926	NA	2.102787449	NA	NA	7
FOS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.587862524	NA	NA	-1.61067071	NA	NA	-1.691846914	-0.922017083	NA	-4.748802188	NA	-5.847728795	NA	NA	NA	4.887325138	7
NAMPT	NA	NA	NA	NA	-1.894143888	NA	-1.1087505	NA	NA	NA	0.439697795	NA	NA	-3.187296259	NA	NA	NA	NA	-3.49133225	-3.911658469	-1.314424552	NA	NA	NA	NA	NA	7
CD48	NA	NA	NA	NA	-1.291866	NA	NA	NA	NA	NA	NA	2.048755389	NA	-3.089365986	NA	NA	NA	NA	-2.126897875	-2.872206844	-1.571788208	NA	-6.480870476	NA	NA	NA	7
FCN1	NA	NA	NA	NA	NA	-2.33176	-2.673405056	NA	NA	NA	NA	-1.696716333	NA	-5.125104152	NA	NA	NA	NA	NA	-3.878353188	NA	4.888961361	NA	NA	NA	4.63789403	7
C5AR1	NA	NA	NA	NA	NA	NA	-0.740849778	NA	NA	NA	NA	2.363715778	2.616543384	-5.193155715	NA	NA	NA	NA	-3.314253719	-4.57687975	NA	NA	NA	NA	NA	4.190548011	7
HMOX1	NA	NA	NA	NA	NA	NA	-1.206484556	NA	NA	NA	NA	1.727840944	3.385582011	-2.375935893	NA	NA	NA	-0.522398194	NA	-2.899779406	NA	NA	NA	NA	NA	5.846215029	7
C3orf14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.440883582	NA	0.717114966	-2.924056839	NA	NA	-3.053256484	-3.901440922	-1.611031881	NA	NA	NA	NA	-5.369206749	7
IFI30	NA	NA	NA	NA	NA	NA	-0.8955155	NA	0.807727821	NA	NA	NA	4.131081919	-3.724404775	NA	NA	NA	-0.928329167	NA	-3.437487281	NA	NA	NA	NA	NA	4.716272532	7
TMEM176A	NA	NA	NA	NA	NA	1.895346111	-1.347795889	NA	NA	NA	NA	NA	2.510493103	NA	NA	NA	-2.5738323	NA	NA	-2.72669125	1.606207604	NA	NA	NA	NA	6.561858488	7
CD177	NA	NA	NA	NA	NA	-1.174053333	-0.848268667	NA	NA	NA	NA	NA	NA	-7.762431929	NA	NA	NA	NA	-8.337564438	-6.928366063	NA	3.410219371	NA	-2.346390851	NA	NA	7
IL1A	NA	3.087653556	NA	NA	NA	NA	-0.922593306	NA	NA	NA	NA	NA	NA	-2.137106587	NA	NA	NA	0.679142222	NA	NA	NA	-5.29370066	NA	NA	3.571877381	8.159440916	7
IFITM2	NA	-0.966843667	NA	NA	1.220195679	-1.902230139	-1.880422389	NA	NA	NA	NA	NA	NA	-2.067333924	0.888776825	NA	NA	NA	NA	-3.626266938	NA	NA	NA	NA	NA	NA	7
CD34	NA	NA	NA	NA	NA	NA	0.824222444	-1.521943324	NA	NA	NA	NA	NA	3.789558009	NA	NA	NA	NA	3.719758641	NA	NA	NA	NA	2.855211601	-1.973210689	-4.644869832	7
HPGDS	NA	NA	NA	NA	-2.06750238	NA	-1.353660667	NA	NA	NA	NA	NA	NA	3.746489548	NA	NA	NA	NA	NA	2.933327719	NA	3.954230207	NA	4.030652543	NA	-4.402011797	7
CCL3L1	NA	3.713363111	NA	NA	0.767607399	NA	-2.382781694	NA	0.482610219	NA	NA	NA	NA	-2.313013335	NA	NA	NA	NA	NA	NA	NA	-4.459070444	NA	NA	NA	8.695141251	7
NR4A2	NA	NA	NA	NA	NA	NA	-1.216880833	NA	NA	NA	NA	NA	NA	NA	-1.82294623	3.103605653	NA	NA	NA	-3.111882656	-1.537434596	-4.75294155	NA	NA	NA	5.305696195	7
KRT18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.46318246	NA	1.988860392	1.094710278	2.031886875	3.088912375	1.633052993	NA	NA	2.790932392	NA	NA	7
OLFML2A	NA	NA	NA	NA	NA	NA	NA	-0.697544741	NA	NA	NA	NA	NA	NA	NA	-2.037243905	NA	NA	4.723844469	NA	1.424096761	-2.875052441	2.064686006	NA	-2.035665811	NA	7
PROM1	-4.981534556	NA	NA	NA	NA	-1.400604643	NA	NA	NA	0.794045044	0.359356145	NA	NA	2.807716859	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.634610184	NA	NA	6
MYH10	-3.571070444	NA	NA	NA	NA	NA	NA	NA	-0.736654291	-0.888324897	NA	NA	-3.271267517	NA	NA	NA	NA	NA	NA	NA	-4.156754833	NA	NA	NA	NA	-3.918583676	6
PTH2R	2.728632222	NA	NA	NA	NA	NA	NA	NA	0.425319852	NA	NA	NA	NA	1.749034987	NA	5.697587879	NA	NA	NA	3.597717063	NA	5.754084868	NA	NA	NA	NA	6
KIT	-4.114937444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.955969317	6.256356198	NA	NA	NA	NA	NA	4.077060063	NA	3.087410043	NA	2.134551151	NA	NA	6
PRG2	-3.746664611	-1.913131778	NA	NA	NA	-2.651992037	NA	NA	NA	-1.50281547	NA	-1.300269444	NA	NA	NA	NA	NA	NA	NA	NA	-1.58343582	NA	NA	NA	NA	NA	6
S100P	1.944752278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.311933889	NA	NA	NA	2.16143789	-2.23396481	NA	NA	NA	NA	5.436959635	NA	NA	NA	4.144081925	6
CXCR4	-2.008841222	NA	NA	1.961980417	-1.819021129	NA	-0.782639222	NA	NA	NA	NA	-1.310317333	NA	NA	NA	NA	NA	NA	NA	NA	-2.229416166	NA	NA	NA	NA	NA	6
IL32	3.681656278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.913516333	NA	-2.024156174	NA	NA	NA	NA	-2.400193438	NA	-1.675160911	NA	NA	NA	NA	4.437411968	6
BAALC	-2.516856444	NA	NA	NA	NA	NA	NA	NA	0.646206306	NA	NA	NA	NA	NA	NA	NA	NA	-0.977655694	NA	NA	NA	NA	-6.51944145	3.520810709	NA	-4.358126155	6
EPSTI1	2.286191944	NA	NA	-1.009028447	NA	NA	NA	NA	NA	-0.786092987	NA	NA	NA	-1.65765562	NA	NA	NA	-0.759458681	NA	-2.846745344	NA	NA	NA	NA	NA	NA	6
CPVL	-1.478680667	-0.999417722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.949557428	NA	-2.805052359	NA	NA	NA	-2.823564344	-1.914841766	NA	NA	NA	NA	NA	6
HBD	-3.035278222	-2.678913833	NA	NA	NA	NA	NA	NA	-0.763888531	-1.536298826	NA	NA	NA	NA	NA	NA	NA	NA	-4.122218688	NA	-5.228333329	NA	NA	NA	NA	NA	6
CDKN3	1.997731444	NA	-2.978026389	NA	NA	NA	NA	NA	NA	-0.587001028	NA	-1.371309167	-2.190369876	NA	NA	NA	NA	NA	NA	NA	-2.798442872	NA	NA	NA	NA	NA	6
FBP1	1.080839	NA	NA	NA	NA	NA	1.235937333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.438701063	NA	3.165948264	2.421071997	NA	-4.641616415	NA	6
MCUB	-2.456105056	NA	NA	NA	NA	NA	-0.811848722	NA	-0.520047173	-0.849736958	NA	NA	NA	-1.666725747	NA	NA	NA	NA	NA	NA	-1.533942561	NA	NA	NA	NA	NA	6
CCNB2	2.8287395	-1.261595778	-3.03795475	NA	NA	NA	NA	NA	-0.527636714	-1.000777263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.297110423	NA	NA	NA	NA	NA	6
CDK1	1.5616265	NA	-3.240883222	NA	NA	-2.246723333	NA	NA	NA	-0.497818909	NA	NA	-1.56340324	NA	NA	NA	NA	NA	NA	NA	-2.007488783	NA	NA	NA	NA	NA	6
CEBPA	-1.556383556	-0.994060611	NA	NA	NA	NA	NA	NA	0.557253026	NA	NA	NA	1.741545805	NA	NA	NA	NA	NA	NA	NA	1.469894704	NA	NA	NA	-2.810134599	NA	6
CENPW	1.257635056	-0.879363222	-2.143211611	NA	NA	NA	NA	NA	NA	-1.00525194	0.38738782	-1.525140056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
NUSAP1	2.374075667	-2.149793778	-2.912971028	NA	NA	NA	NA	NA	-0.503213816	-1.036880036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.962343413	NA	NA	NA	NA	NA	6
CDC20	2.787411389	-2.117224722	-3.346103833	NA	NA	NA	NA	0.459741318	NA	NA	NA	NA	-2.9786521	NA	NA	NA	NA	NA	NA	NA	-3.761416668	NA	NA	NA	NA	NA	6
SORL1	-2.134094556	NA	NA	-1.67225428	NA	NA	-1.090675833	NA	NA	0.661775457	NA	1.301878222	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.963996497	NA	NA	NA	NA	6
NFKBIZ	-1.547027722	2.195555333	NA	NA	NA	NA	-1.085348056	NA	NA	NA	NA	NA	NA	-2.314237316	NA	NA	NA	NA	NA	-2.950109594	NA	-3.773472958	NA	NA	NA	NA	6
FNBP1L	-1.257830333	NA	NA	1.461936364	NA	1.232748519	0.843069667	NA	NA	NA	NA	NA	NA	1.945509804	-1.365457677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
LEF1	-1.161134111	NA	NA	NA	-1.098406018	NA	NA	NA	NA	-0.7791963	NA	NA	NA	-3.07065154	NA	NA	-1.545014478	NA	-4.541745813	NA	NA	NA	NA	NA	NA	NA	6
FCGR2A	1.446835833	1.9234835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.065588786	NA	NA	NA	NA	NA	-3.787401594	NA	NA	2.148864981	NA	-3.523382539	NA	6
BTG2	-1.247060222	1.546825889	NA	-0.944932083	NA	NA	NA	NA	0.532148265	0.811718201	NA	NA	NA	-2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
CTSG	-2.128972278	-2.668947444	NA	NA	-2.7578033	NA	1.153351278	NA	NA	-1.257240582	NA	NA	-2.55358223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
LITAF	1.323447722	NA	NA	NA	1.008319872	NA	NA	NA	0.591990811	NA	NA	NA	NA	-1.740572372	NA	NA	NA	NA	-2.746856469	-2.697400875	NA	NA	NA	NA	NA	NA	6
MCM4	1.820319278	-1.912254556	-1.3819555	NA	NA	NA	NA	NA	-0.528427939	-0.635752544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.812422808	NA	NA	NA	NA	NA	6
CDKN1A	-1.781880722	2.339083	1.089416	NA	NA	NA	NA	NA	NA	NA	NA	1.207449444	2.789833274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.326138989	6
PROK2	2.016192222	-0.924941611	NA	NA	NA	NA	NA	NA	1.188219765	1.101223261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.812665726	NA	NA	NA	5.512824156	6
TPX2	1.866270611	-1.453878278	-2.666503778	NA	NA	NA	NA	NA	NA	-0.817968913	NA	-1.259506278	NA	NA	NA	NA	NA	NA	NA	NA	-1.933109821	NA	NA	NA	NA	NA	6
LXN	-1.286539056	NA	NA	NA	NA	NA	NA	NA	NA	-0.629730123	NA	NA	NA	NA	-1.506354937	NA	NA	-0.748029583	NA	NA	-1.5855753	NA	NA	NA	-2.086552976	NA	6
RGS2	1.206681056	NA	NA	NA	NA	NA	-1.2619315	NA	NA	NA	0.685780807	NA	NA	-3.775371619	NA	NA	NA	NA	NA	NA	-1.71450111	NA	NA	NA	NA	4.006640872	6
AHNAK	-1.965546	0.934558556	NA	NA	NA	NA	-1.18433175	NA	0.507203082	0.65506434	NA	1.136905667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
CA2	-2.048929056	NA	NA	NA	NA	-1.877053123	-0.774138778	-0.600425367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.711755981	NA	NA	NA	-4.918401471	NA	6
TM4SF1	-2.694283556	NA	NA	NA	2.130747881	NA	-0.853080759	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.389028492	NA	2.313671094	NA	NA	NA	NA	4.731794234	NA	NA	6
HBB	-4.613417333	NA	NA	NA	NA	NA	NA	NA	-1.063960347	-1.546331512	NA	NA	-1.718836266	NA	NA	-2.247690649	NA	NA	NA	NA	-5.399997068	NA	NA	NA	NA	NA	6
MME	NA	NA	NA	1.194852841	-1.67998719	NA	NA	-0.986250114	NA	-1.021719888	NA	NA	NA	-1.812153241	NA	NA	NA	NA	NA	NA	NA	NA	-3.840659464	NA	NA	NA	6
TGFBI	NA	NA	NA	1.564445568	NA	NA	-1.546235556	NA	NA	-0.55023501	NA	NA	NA	-3.969000303	NA	NA	NA	NA	NA	-5.41986575	-2.632903002	NA	NA	NA	NA	NA	6
IER2	NA	NA	-1.144574333	NA	1.491001582	NA	NA	NA	0.695954918	0.922672896	0.409837047	NA	NA	-1.891532189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
CA1	NA	NA	NA	NA	NA	-2.579322778	-1.127669412	NA	-0.770269276	-1.783875568	NA	NA	NA	NA	NA	NA	NA	NA	-4.6167925	NA	NA	NA	NA	2.014155691	NA	NA	6
