genes	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11	AML12	AML13	AML14	AML15	AML16	AML17	AML18	AML19	AML20	AML21	AML22	AML23	AML24	AML25	AML26
MS4A3	-1.415846278	-1.1626855	NA	NA	NA	NA	NA	NA	NA	-1.731370396	NA	-1.119193889	-1.931462184	NA	NA	NA	-2.251373315	NA	NA	NA	-2.728204819	5.649930866	NA	NA	NA	NA
IGFBP2	1.954830667	NA	NA	-0.941926174	NA	NA	NA	NA	NA	NA	NA	1.886686111	NA	NA	NA	-3.888033895	NA	NA	NA	NA	1.36454164	-3.693726413	-3.163678229	NA	2.853905605	NA
ANXA5	-1.256962389	NA	NA	-0.902064318	-2.368708993	NA	NA	-0.445876741	-0.549853352	NA	NA	NA	NA	-3.794281454	NA	NA	NA	NA	NA	-3.659083781	-1.411601234	NA	NA	NA	NA	NA
MYB	-1.185858833	NA	NA	NA	NA	NA	1.106620861	NA	NA	-0.512918371	NA	NA	NA	4.018412851	NA	3.296035269	NA	NA	NA	3.479207125	NA	5.215439068	NA	NA	1.892288538	NA
SPP1	-2.532622944	-1.858960389	2.649254833	NA	NA	3.683051111	NA	NA	NA	NA	NA	1.205717833	NA	NA	NA	NA	NA	NA	3.201665438	NA	NA	NA	-3.407182903	NA	3.452648571	NA
RAD51AP1	1.464745278	-1.367804333	-1.745872361	0.915299811	-0.841017837	NA	NA	NA	NA	-0.546035495	NA	NA	-2.216761193	NA	NA	NA	NA	NA	NA	NA	-1.279769678	NA	NA	NA	NA	NA
ID2	-2.010549889	NA	NA	-1.250031023	NA	-1.458581111	-1.154009417	NA	0.679643495	NA	NA	NA	NA	-2.014300555	-0.955536693	NA	NA	-0.626880556	NA	NA	NA	NA	NA	NA	NA	NA
CRIP1	NA	NA	NA	NA	1.476356798	NA	-0.982118722	NA	1.088416857	0.806991672	0.581104393	NA	NA	NA	2.724308518	NA	-1.840556187	NA	NA	NA	2.45980183	NA	NA	NA	NA	NA
ITGAX	NA	NA	NA	NA	NA	NA	-0.982787167	NA	0.728407974	0.739065355	NA	NA	3.950658179	-3.444539788	NA	NA	NA	NA	NA	-2.674401219	NA	3.073644111	NA	NA	NA	4.675427033
FPR1	NA	NA	1.942368972	NA	NA	NA	-2.328875889	NA	NA	NA	NA	NA	1.915589094	-5.448320348	NA	NA	NA	NA	-3.477049938	-4.290635906	NA	3.204840584	-3.554266748	NA	NA	NA
DENND3	2.944071222	NA	NA	NA	0.747761324	NA	NA	NA	0.585494255	0.513262959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.367235175	3.084708545	NA	NA	-2.195829119	NA
DYSF	2.160095056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.100542702	NA	NA	NA	0.470064375	NA	-3.632703281	NA	3.525576383	NA	NA	2.128462471	5.314353119
RASGRP3	-1.194516806	2.349772222	NA	NA	1.277392089	NA	NA	0.597954031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.504547688	1.364312079	NA	NA	NA	NA	4.39353465
TMEM71	3.051202944	NA	NA	NA	NA	NA	-0.877012889	NA	0.517519347	0.583680711	NA	1.480862722	1.769111821	NA	NA	NA	NA	NA	NA	NA	NA	3.817583125	NA	NA	NA	NA
TM6SF1	-1.413784111	2.329447778	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.194008389	NA	-1.670702369	NA	NA	NA	NA	NA	NA	NA	2.820558672	-3.527296095	NA	2.028921909	NA
MEST	1.237126056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.929673642	-0.965707975	NA	NA	NA	2.654133781	4.389521781	NA	NA	NA	2.225023995	NA	-3.961904631
MARCKS	-2.102720722	1.491293222	NA	NA	NA	NA	-1.527757833	NA	NA	NA	NA	NA	NA	-2.674524081	NA	-1.849696366	NA	NA	NA	NA	1.130143853	NA	NA	NA	NA	4.174682755
FCER1G	1.843386278	NA	NA	NA	NA	NA	NA	NA	0.756370276	NA	0.797686921	NA	1.877605663	-3.241088478	NA	NA	NA	NA	NA	-2.937860844	NA	NA	NA	NA	NA	5.350807789
ADM	1.996662278	NA	NA	-0.873094394	1.110963148	NA	-1.0097425	NA	NA	NA	NA	NA	1.932546199	-3.635996117	NA	NA	NA	NA	NA	-5.9148445	NA	NA	NA	NA	NA	NA
CCNB1	1.496733222	NA	-3.076731278	NA	NA	NA	NA	NA	-0.50112451	-0.89423438	NA	-1.915138222	-1.93233258	NA	NA	NA	NA	NA	NA	NA	-3.077271152	NA	NA	NA	NA	NA
ELANE	-2.511184167	-2.4923965	NA	NA	NA	NA	NA	NA	NA	-1.116650022	NA	NA	-3.187652775	NA	NA	NA	NA	NA	NA	NA	-3.753156658	4.035701961	2.858184016	NA	NA	NA
LY96	1.585482778	NA	0.966987444	NA	-0.732052904	NA	-1.239805685	NA	NA	NA	NA	NA	NA	-2.804326262	0.738065995	NA	NA	NA	NA	-2.990577063	NA	NA	NA	NA	NA	NA
THBS1	-1.755677333	3.321340722	NA	NA	-0.933909614	1.032049594	NA	NA	NA	NA	NA	NA	NA	-2.276188486	NA	NA	NA	NA	NA	-2.443895438	NA	NA	NA	NA	1.91224266	NA
TOP2A	2.267785611	-2.612301722	-3.755149778	NA	NA	-1.017933611	NA	NA	-0.628679929	-1.093401412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.64366595	NA	NA	NA	NA	NA
MYCT1	-1.290489389	NA	NA	NA	NA	NA	NA	NA	-2.081287296	-1.151889008	NA	NA	NA	NA	NA	NA	NA	1.032250069	NA	NA	NA	NA	2.146920811	2.070130637	NA	-6.197157417
TNFSF10	1.955211944	2.496372722	NA	NA	NA	NA	NA	NA	-0.518730786	NA	NA	NA	NA	-2.263660932	NA	NA	NA	-0.647444514	-2.837692594	NA	NA	NA	NA	NA	-2.523948687	NA
TPSAB1	-1.363485944	1.034841222	NA	NA	NA	NA	NA	NA	1.03203752	NA	NA	NA	NA	2.00060988	NA	NA	NA	NA	NA	3.533552484	1.583909764	NA	NA	2.381187684	NA	NA
NFKBIA	-1.374974556	2.380995833	NA	NA	NA	NA	-1.066386556	NA	NA	0.619339571	0.637178992	NA	NA	-2.133310047	-0.918250263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC2A3	NA	0.941224333	NA	NA	NA	NA	NA	NA	1.071514643	1.268004831	NA	NA	NA	-3.843680098	NA	NA	NA	NA	-2.48939725	-3.787282469	-1.411974666	NA	NA	NA	NA	NA
CCNA2	NA	-1.451194667	-2.168943194	1.6580525	NA	NA	NA	NA	-1.003211566	-1.332241764	NA	NA	-1.602665819	NA	NA	NA	NA	NA	NA	NA	-3.06010256	NA	NA	NA	NA	NA
ATP8B4	NA	NA	NA	NA	NA	NA	NA	NA	0.797938423	1.127170876	0.543684475	NA	NA	2.98769508	NA	NA	NA	NA	NA	3.052122688	1.578382519	3.900050244	NA	NA	NA	NA
JUN	NA	2.127918778	NA	NA	NA	NA	NA	NA	NA	0.809530849	0.711444524	3.292731111	NA	-1.869293365	NA	NA	NA	NA	NA	NA	NA	-3.10007579	NA	NA	NA	6.044123467
BHLHE40	NA	2.745035611	0.924750056	NA	NA	NA	NA	NA	0.800596235	0.704069899	0.749538624	NA	NA	-1.771216021	NA	NA	NA	NA	NA	NA	1.327349896	NA	NA	NA	NA	NA
ADGRE5	NA	2.209832222	NA	NA	1.254033236	NA	NA	NA	1.449680862	1.355893764	0.565826035	NA	2.500957097	NA	NA	NA	NA	NA	NA	NA	1.405476215	NA	NA	NA	NA	NA
CD38	NA	NA	NA	NA	NA	NA	-1.277947472	NA	-0.67825599	-0.961738477	NA	-2.454505278	NA	3.124416205	NA	NA	NA	NA	NA	NA	-1.227670495	4.212178528	NA	NA	NA	NA
CHST15	NA	NA	NA	NA	NA	NA	-1.414185611	-0.447581537	NA	-0.620884702	NA	NA	1.512012038	-3.252424993	NA	NA	NA	NA	NA	-4.533632938	NA	NA	NA	NA	NA	6.294864749
CCNA1	NA	NA	NA	NA	1.891853528	NA	NA	NA	0.792356765	0.926493657	NA	NA	NA	2.632469147	NA	NA	-2.426315076	NA	NA	3.579748781	2.351535797	NA	NA	NA	NA	NA
PDE4B	NA	0.960848778	NA	NA	NA	NA	-0.844711389	NA	0.506141954	0.58109524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.960108541	NA	-2.116355031	NA	NA	4.174892793
PLXNC1	NA	NA	NA	NA	-0.984125727	NA	-0.935701667	NA	NA	-0.733625263	NA	NA	NA	-2.887767461	NA	-1.981056674	NA	NA	NA	-2.921632844	-1.753444498	NA	NA	NA	NA	NA
ANPEP	NA	0.991146389	NA	NA	1.410975233	NA	NA	NA	0.879238306	0.942442392	NA	NA	NA	-2.933157249	NA	NA	NA	NA	-2.403719406	-3.319829375	NA	NA	NA	NA	NA	NA
FLT3	NA	-0.905426444	NA	NA	NA	NA	NA	NA	NA	0.922149585	0.798402994	NA	NA	6.677489002	NA	NA	NA	NA	NA	NA	2.416232896	6.824371926	NA	2.102787449	NA	NA
FOS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.587862524	NA	NA	-1.61067071	NA	NA	-1.691846914	-0.922017083	NA	-4.748802188	NA	-5.847728795	NA	NA	NA	4.887325138
NAMPT	NA	NA	NA	NA	-1.894143888	NA	-1.1087505	NA	NA	NA	0.439697795	NA	NA	-3.187296259	NA	NA	NA	NA	-3.49133225	-3.911658469	-1.314424552	NA	NA	NA	NA	NA
CD48	NA	NA	NA	NA	-1.291866	NA	NA	NA	NA	NA	NA	2.048755389	NA	-3.089365986	NA	NA	NA	NA	-2.126897875	-2.872206844	-1.571788208	NA	-6.480870476	NA	NA	NA
FCN1	NA	NA	NA	NA	NA	-2.33176	-2.673405056	NA	NA	NA	NA	-1.696716333	NA	-5.125104152	NA	NA	NA	NA	NA	-3.878353188	NA	4.888961361	NA	NA	NA	4.63789403
C5AR1	NA	NA	NA	NA	NA	NA	-0.740849778	NA	NA	NA	NA	2.363715778	2.616543384	-5.193155715	NA	NA	NA	NA	-3.314253719	-4.57687975	NA	NA	NA	NA	NA	4.190548011
HMOX1	NA	NA	NA	NA	NA	NA	-1.206484556	NA	NA	NA	NA	1.727840944	3.385582011	-2.375935893	NA	NA	NA	-0.522398194	NA	-2.899779406	NA	NA	NA	NA	NA	5.846215029
C3orf14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.440883582	NA	0.717114966	-2.924056839	NA	NA	-3.053256484	-3.901440922	-1.611031881	NA	NA	NA	NA	-5.369206749
IFI30	NA	NA	NA	NA	NA	NA	-0.8955155	NA	0.807727821	NA	NA	NA	4.131081919	-3.724404775	NA	NA	NA	-0.928329167	NA	-3.437487281	NA	NA	NA	NA	NA	4.716272532
TMEM176A	NA	NA	NA	NA	NA	1.895346111	-1.347795889	NA	NA	NA	NA	NA	2.510493103	NA	NA	NA	-2.5738323	NA	NA	-2.72669125	1.606207604	NA	NA	NA	NA	6.561858488
CD177	NA	NA	NA	NA	NA	-1.174053333	-0.848268667	NA	NA	NA	NA	NA	NA	-7.762431929	NA	NA	NA	NA	-8.337564438	-6.928366063	NA	3.410219371	NA	-2.346390851	NA	NA
IL1A	NA	3.087653556	NA	NA	NA	NA	-0.922593306	NA	NA	NA	NA	NA	NA	-2.137106587	NA	NA	NA	0.679142222	NA	NA	NA	-5.29370066	NA	NA	3.571877381	8.159440916
IFITM2	NA	-0.966843667	NA	NA	1.220195679	-1.902230139	-1.880422389	NA	NA	NA	NA	NA	NA	-2.067333924	0.888776825	NA	NA	NA	NA	-3.626266938	NA	NA	NA	NA	NA	NA
CD34	NA	NA	NA	NA	NA	NA	0.824222444	-1.521943324	NA	NA	NA	NA	NA	3.789558009	NA	NA	NA	NA	3.719758641	NA	NA	NA	NA	2.855211601	-1.973210689	-4.644869832
HPGDS	NA	NA	NA	NA	-2.06750238	NA	-1.353660667	NA	NA	NA	NA	NA	NA	3.746489548	NA	NA	NA	NA	NA	2.933327719	NA	3.954230207	NA	4.030652543	NA	-4.402011797
CCL3L1	NA	3.713363111	NA	NA	0.767607399	NA	-2.382781694	NA	0.482610219	NA	NA	NA	NA	-2.313013335	NA	NA	NA	NA	NA	NA	NA	-4.459070444	NA	NA	NA	8.695141251
NR4A2	NA	NA	NA	NA	NA	NA	-1.216880833	NA	NA	NA	NA	NA	NA	NA	-1.82294623	3.103605653	NA	NA	NA	-3.111882656	-1.537434596	-4.75294155	NA	NA	NA	5.305696195
KRT18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.46318246	NA	1.988860392	1.094710278	2.031886875	3.088912375	1.633052993	NA	NA	2.790932392	NA	NA
OLFML2A	NA	NA	NA	NA	NA	NA	NA	-0.697544741	NA	NA	NA	NA	NA	NA	NA	-2.037243905	NA	NA	4.723844469	NA	1.424096761	-2.875052441	2.064686006	NA	-2.035665811	NA
PROM1	-4.981534556	NA	NA	NA	NA	-1.400604643	NA	NA	NA	0.794045044	0.359356145	NA	NA	2.807716859	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.634610184	NA	NA
MYH10	-3.571070444	NA	NA	NA	NA	NA	NA	NA	-0.736654291	-0.888324897	NA	NA	-3.271267517	NA	NA	NA	NA	NA	NA	NA	-4.156754833	NA	NA	NA	NA	-3.918583676
PTH2R	2.728632222	NA	NA	NA	NA	NA	NA	NA	0.425319852	NA	NA	NA	NA	1.749034987	NA	5.697587879	NA	NA	NA	3.597717063	NA	5.754084868	NA	NA	NA	NA
KIT	-4.114937444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.955969317	6.256356198	NA	NA	NA	NA	NA	4.077060063	NA	3.087410043	NA	2.134551151	NA	NA
PRG2	-3.746664611	-1.913131778	NA	NA	NA	-2.651992037	NA	NA	NA	-1.50281547	NA	-1.300269444	NA	NA	NA	NA	NA	NA	NA	NA	-1.58343582	NA	NA	NA	NA	NA
S100P	1.944752278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.311933889	NA	NA	NA	2.16143789	-2.23396481	NA	NA	NA	NA	5.436959635	NA	NA	NA	4.144081925
CXCR4	-2.008841222	NA	NA	1.961980417	-1.819021129	NA	-0.782639222	NA	NA	NA	NA	-1.310317333	NA	NA	NA	NA	NA	NA	NA	NA	-2.229416166	NA	NA	NA	NA	NA
IL32	3.681656278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.913516333	NA	-2.024156174	NA	NA	NA	NA	-2.400193438	NA	-1.675160911	NA	NA	NA	NA	4.437411968
BAALC	-2.516856444	NA	NA	NA	NA	NA	NA	NA	0.646206306	NA	NA	NA	NA	NA	NA	NA	NA	-0.977655694	NA	NA	NA	NA	-6.51944145	3.520810709	NA	-4.358126155
EPSTI1	2.286191944	NA	NA	-1.009028447	NA	NA	NA	NA	NA	-0.786092987	NA	NA	NA	-1.65765562	NA	NA	NA	-0.759458681	NA	-2.846745344	NA	NA	NA	NA	NA	NA
CPVL	-1.478680667	-0.999417722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.949557428	NA	-2.805052359	NA	NA	NA	-2.823564344	-1.914841766	NA	NA	NA	NA	NA
HBD	-3.035278222	-2.678913833	NA	NA	NA	NA	NA	NA	-0.763888531	-1.536298826	NA	NA	NA	NA	NA	NA	NA	NA	-4.122218688	NA	-5.228333329	NA	NA	NA	NA	NA
CDKN3	1.997731444	NA	-2.978026389	NA	NA	NA	NA	NA	NA	-0.587001028	NA	-1.371309167	-2.190369876	NA	NA	NA	NA	NA	NA	NA	-2.798442872	NA	NA	NA	NA	NA
FBP1	1.080839	NA	NA	NA	NA	NA	1.235937333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.438701063	NA	3.165948264	2.421071997	NA	-4.641616415	NA
MCUB	-2.456105056	NA	NA	NA	NA	NA	-0.811848722	NA	-0.520047173	-0.849736958	NA	NA	NA	-1.666725747	NA	NA	NA	NA	NA	NA	-1.533942561	NA	NA	NA	NA	NA
CCNB2	2.8287395	-1.261595778	-3.03795475	NA	NA	NA	NA	NA	-0.527636714	-1.000777263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.297110423	NA	NA	NA	NA	NA
CDK1	1.5616265	NA	-3.240883222	NA	NA	-2.246723333	NA	NA	NA	-0.497818909	NA	NA	-1.56340324	NA	NA	NA	NA	NA	NA	NA	-2.007488783	NA	NA	NA	NA	NA
CEBPA	-1.556383556	-0.994060611	NA	NA	NA	NA	NA	NA	0.557253026	NA	NA	NA	1.741545805	NA	NA	NA	NA	NA	NA	NA	1.469894704	NA	NA	NA	-2.810134599	NA
CENPW	1.257635056	-0.879363222	-2.143211611	NA	NA	NA	NA	NA	NA	-1.00525194	0.38738782	-1.525140056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUSAP1	2.374075667	-2.149793778	-2.912971028	NA	NA	NA	NA	NA	-0.503213816	-1.036880036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.962343413	NA	NA	NA	NA	NA
CDC20	2.787411389	-2.117224722	-3.346103833	NA	NA	NA	NA	0.459741318	NA	NA	NA	NA	-2.9786521	NA	NA	NA	NA	NA	NA	NA	-3.761416668	NA	NA	NA	NA	NA
SORL1	-2.134094556	NA	NA	-1.67225428	NA	NA	-1.090675833	NA	NA	0.661775457	NA	1.301878222	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.963996497	NA	NA	NA	NA
NFKBIZ	-1.547027722	2.195555333	NA	NA	NA	NA	-1.085348056	NA	NA	NA	NA	NA	NA	-2.314237316	NA	NA	NA	NA	NA	-2.950109594	NA	-3.773472958	NA	NA	NA	NA
FNBP1L	-1.257830333	NA	NA	1.461936364	NA	1.232748519	0.843069667	NA	NA	NA	NA	NA	NA	1.945509804	-1.365457677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEF1	-1.161134111	NA	NA	NA	-1.098406018	NA	NA	NA	NA	-0.7791963	NA	NA	NA	-3.07065154	NA	NA	-1.545014478	NA	-4.541745813	NA	NA	NA	NA	NA	NA	NA
FCGR2A	1.446835833	1.9234835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.065588786	NA	NA	NA	NA	NA	-3.787401594	NA	NA	2.148864981	NA	-3.523382539	NA
BTG2	-1.247060222	1.546825889	NA	-0.944932083	NA	NA	NA	NA	0.532148265	0.811718201	NA	NA	NA	-2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTSG	-2.128972278	-2.668947444	NA	NA	-2.7578033	NA	1.153351278	NA	NA	-1.257240582	NA	NA	-2.55358223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LITAF	1.323447722	NA	NA	NA	1.008319872	NA	NA	NA	0.591990811	NA	NA	NA	NA	-1.740572372	NA	NA	NA	NA	-2.746856469	-2.697400875	NA	NA	NA	NA	NA	NA
MCM4	1.820319278	-1.912254556	-1.3819555	NA	NA	NA	NA	NA	-0.528427939	-0.635752544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.812422808	NA	NA	NA	NA	NA
CDKN1A	-1.781880722	2.339083	1.089416	NA	NA	NA	NA	NA	NA	NA	NA	1.207449444	2.789833274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.326138989
PROK2	2.016192222	-0.924941611	NA	NA	NA	NA	NA	NA	1.188219765	1.101223261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.812665726	NA	NA	NA	5.512824156
TPX2	1.866270611	-1.453878278	-2.666503778	NA	NA	NA	NA	NA	NA	-0.817968913	NA	-1.259506278	NA	NA	NA	NA	NA	NA	NA	NA	-1.933109821	NA	NA	NA	NA	NA
LXN	-1.286539056	NA	NA	NA	NA	NA	NA	NA	NA	-0.629730123	NA	NA	NA	NA	-1.506354937	NA	NA	-0.748029583	NA	NA	-1.5855753	NA	NA	NA	-2.086552976	NA
RGS2	1.206681056	NA	NA	NA	NA	NA	-1.2619315	NA	NA	NA	0.685780807	NA	NA	-3.775371619	NA	NA	NA	NA	NA	NA	-1.71450111	NA	NA	NA	NA	4.006640872
AHNAK	-1.965546	0.934558556	NA	NA	NA	NA	-1.18433175	NA	0.507203082	0.65506434	NA	1.136905667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA2	-2.048929056	NA	NA	NA	NA	-1.877053123	-0.774138778	-0.600425367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.711755981	NA	NA	NA	-4.918401471	NA
TM4SF1	-2.694283556	NA	NA	NA	2.130747881	NA	-0.853080759	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.389028492	NA	2.313671094	NA	NA	NA	NA	4.731794234	NA	NA
HBB	-4.613417333	NA	NA	NA	NA	NA	NA	NA	-1.063960347	-1.546331512	NA	NA	-1.718836266	NA	NA	-2.247690649	NA	NA	NA	NA	-5.399997068	NA	NA	NA	NA	NA
MME	NA	NA	NA	1.194852841	-1.67998719	NA	NA	-0.986250114	NA	-1.021719888	NA	NA	NA	-1.812153241	NA	NA	NA	NA	NA	NA	NA	NA	-3.840659464	NA	NA	NA
TGFBI	NA	NA	NA	1.564445568	NA	NA	-1.546235556	NA	NA	-0.55023501	NA	NA	NA	-3.969000303	NA	NA	NA	NA	NA	-5.41986575	-2.632903002	NA	NA	NA	NA	NA
IER2	NA	NA	-1.144574333	NA	1.491001582	NA	NA	NA	0.695954918	0.922672896	0.409837047	NA	NA	-1.891532189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CA1	NA	NA	NA	NA	NA	-2.579322778	-1.127669412	NA	-0.770269276	-1.783875568	NA	NA	NA	NA	NA	NA	NA	NA	-4.6167925	NA	NA	NA	NA	2.014155691	NA	NA
SGPP1	NA	NA	NA	NA	NA	1.854669949	NA	NA	NA	-0.765042231	NA	NA	NA	-2.490415489	NA	-1.952633832	NA	NA	-2.943112297	NA	-1.422458597	NA	NA	NA	NA	NA
GBP2	NA	1.238948056	NA	NA	NA	NA	NA	NA	0.490665934	0.63542694	NA	1.461544556	NA	-2.079723767	NA	NA	NA	-0.713756319	NA	NA	NA	NA	NA	NA	NA	NA
MKI67	NA	NA	-2.064707444	NA	-1.323718893	NA	NA	NA	-0.550885026	-1.236259071	NA	NA	-1.721462862	NA	NA	NA	NA	NA	NA	NA	-1.663098404	NA	NA	NA	NA	NA
